x,y,curasd
2.28227644e+00,-2.52628240e-02,3.08090971e-03
2.29841557e+00,-2.55338430e-02,2.66456018e-03
2.30624655e+00,-2.56654430e-02,-2.54427584e-04
2.32000214e+00,-2.58965830e-02,1.85027147e-03
2.33280179e+00,-2.61116210e-02,1.85146542e-03
2.34716119e+00,-2.63516460e-02,-2.32050301e-03
2.36065220e+00,-2.65781340e-02,-4.32362128e-03
2.37419293e+00,-2.68063770e-02,-2.66444249e-03
2.38822989e+00,-2.70432200e-02,-5.01197218e-03
2.40112243e+00,-2.72614110e-02,-8.44860488e-03
2.41679980e+00,-2.75287080e-02,-8.90862008e-03
2.43073051e+00,-2.77688610e-02,-8.52725296e-03
2.44260973e+00,-2.79747060e-02,-2.31801095e-03
2.45643912e+00,-2.82146110e-02,-8.20025960e-04
2.46930528e+00,-2.84375920e-02,-3.75943244e-03
2.48171821e+00,-2.86534980e-02,-3.16349059e-03
2.49698284e+00,-2.89199310e-02,4.61898951e-04
2.51076578e+00,-2.91604830e-02,4.81907341e-03
2.52399034e+00,-2.93901850e-02,2.66266859e-03
2.53817946e+00,-2.96355020e-02,-2.98462287e-03
2.55131311e+00,-2.98639000e-02,-5.31076268e-03
2.56487163e+00,-3.01002410e-02,-5.73862803e-03
2.57845688e+00,-3.03382840e-02,-4.20154211e-03
2.59207409e+00,-3.05781280e-02,-1.40272240e-03
2.60442353e+00,-3.07950990e-02,-4.02296697e-04
2.62018379e+00,-3.10729220e-02,2.32550464e-03
2.63382775e+00,-3.13127410e-02,4.84579899e-03
2.64738137e+00,-3.15496470e-02,9.47171842e-04
2.66055361e+00,-3.17798500e-02,-1.21159544e-03
2.67503798e+00,-3.20337180e-02,1.21731907e-03
2.68850383e+00,-3.22693160e-02,3.12458038e-03
2.70137301e+00,-3.24936940e-02,1.11186545e-04
2.71570570e+00,-3.27435430e-02,-4.34615926e-03
2.72789987e+00,-3.29569320e-02,-3.37725766e-03
2.74738906e+00,-3.32990900e-02,-6.50527809e-03
2.75606798e+00,-3.34523400e-02,-1.28925708e-02
2.77002051e+00,-3.37006000e-02,-2.23106942e-03
2.78365527e+00,-3.39440500e-02,3.07884625e-03
2.79771644e+00,-3.41940770e-02,2.29848320e-03
2.81270806e+00,-3.44595090e-02,-3.83244530e-03
2.82507149e+00,-3.46795650e-02,-9.38896170e-03
2.83831312e+00,-3.49166480e-02,-7.34883301e-03
2.85268578e+00,-3.51758400e-02,-7.32173488e-03
2.86574174e+00,-3.54121660e-02,-8.90106971e-03
2.87924819e+00,-3.56586230e-02,-1.06911274e-02
2.89223264e+00,-3.58969240e-02,-1.24934271e-02
2.90679210e+00,-3.61668730e-02,-1.17241381e-02
2.92075254e+00,-3.64286050e-02,-1.37115114e-02
2.93251709e+00,-3.66507550e-02,-1.13253263e-02
2.94796702e+00,-3.69448100e-02,-1.15192495e-02
